date,feast,colour,year,rcl,daily,showold,nextyear
1/2/2020,"Bride of Kildare, Abbess, c.525 [6] White",white,2019-2020,A,2,,
2/2/2020,The Presentation of the Lord [2] White,white,2019-2020,A,2,,
3/2/2020,Saints and Martyrs of Europe [6] Red,red,2019-2020,A,2,,
4/2/2020,"Tuesday after Fourth Sunday after Epiphany (Ordination of the Rt Revd Kevin Pearson as Bishop of Argyll and the Isles, 2011)",green,2019-2020,A,2,,
5/2/2020,Wednesday after Fourth Sunday after Epiphany,green,2019-2020,A,2,,
6/2/2020,"Paul Miki, Priest, and the Martyrs of Japan, 1597 [6] Red",red,2019-2020,A,2,,
7/2/2020,Friday after Fourth Sunday after Epiphany,green,2019-2020,A,2,,
8/2/2020,Saturday after Fourth Sunday after Epiphany,green,2019-2020,A,2,,
9/2/2020,Fifth Sunday after Epiphany [3] Green,green,2019-2020,A,2,,
10/2/2020,"Scholastica, Religious, 543 [6] White",white,2019-2020,A,2,,
11/2/2020,Tuesday after Fifth Sunday after Epiphany,green,2019-2020,A,2,,
12/2/2020,Wednesday after Fifth Sunday after Epiphany,green,2019-2020,A,2,,
13/2/2020,Thursday after Fifth Sunday after Epiphany,green,2019-2020,A,2,,
14/2/2020,"Cyril, Monk, 869, and Methodius, Bishop, 885, 'Apostles of the Slavs' [6] White",white,2019-2020,A,2,,
15/2/2020,"Thomas Bray, Priest and Missionary, 1730 [6] White",white,2019-2020,A,2,,
16/2/2020,Sixth Sunday after Epiphany [3] Green,green,2019-2020,A,2,,
17/2/2020,"Finan of Lindisfarne, Bishop, 661 [6] White",white,2019-2020,A,2,,
18/2/2020,"Colman of Lindisfarne, Bishop, 767 [6] White",white,2019-2020,A,2,,
19/2/2020,"Martin Luther, 1545 [6] White",white,2019-2020,A,2,,
20/2/2020,Thursday after Sixth Sunday after Epiphany,green,2019-2020,A,2,,
21/2/2020,Friday after Sixth Sunday after Epiphany,green,2019-2020,A,2,,
22/2/2020,Saturday after Sixth Sunday after Epiphany,green,2019-2020,A,2,,
23/2/2020,Sunday before Lent (Transfiguration) [3] Green (SPB Quinquagesima – Violet),violet,2019-2020,A,2,,
24/2/2020,"Polycarp of Smyrna, Bishop and Martyr, 156 [6] Red (translated from 23 February)",red,2019-2020,A,2,,
25/2/2020,Tuesday after Sunday before Lent,green,2019-2020,A,2,,
26/2/2020,Ash Wednesday [1] Violet or Lenten Array,violet,2019-2020,A,2,,
27/2/2020,Thursday after Ash Wednesday,violet,2019-2020,A,2,,
28/2/2020,Friday after Ash Wednesday,violet,2019-2020,A,2,,
29/2/2020,Saturday after Ash Wednesday,violet,2019-2020,A,2,,
1/3/2020,"First Sunday of Lent [1] Violet or Lenten Array (Ordination of the Rt Revd Anne Dyer, Bishop of Aberdeen and Orkney, 2018)",violet,2019-2020,A,2,,
2/3/2020,"Chad of Lichfield, Bishop, 672 [6] White",white,2019-2020,A,2,,
3/3/2020,"John and Charles Wesley, Priests, 1791 and 1788 [6] White",white,2019-2020,A,2,,
4/3/2020,"Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red (Ember Day)",red,2019-2020,A,2,,
5/3/2020,"David, Bishop, Patron of Wales, c.544 [6] White (translated from 1 March)",white,2019-2020,A,2,,
6/3/2020,"Baldred, Bishop, 608 [6] White (Ember Day)",red,2019-2020,A,2,,
7/3/2020,"Perpetua and her Companions, Martyrs, 203 [6] Red (Ember Day)",red,2019-2020,A,2,,
8/3/2020,Second Sunday of Lent [1] Violet or Lenten Array,violet,2019-2020,A,2,,
9/3/2020,"Duthac, Bishop, 1068 [6] White (translated from 8 March)",white,2019-2020,A,2,,
10/3/2020,"Kessog, Bishop, c.700 [6] Red",red,2019-2020,A,2,,
11/3/2020,Wednesday after Second Sunday of Lent,violet,2019-2020,A,2,,
12/3/2020,Thursday after Second Sunday of Lent,violet,2019-2020,A,2,,
13/3/2020,Friday after Second Sunday of Lent,violet,2019-2020,A,2,,
14/3/2020,Saturday after Second Sunday of Lent,violet,2019-2020,A,2,,
15/3/2020,Third Sunday of Lent [1] Violet or Lenten Array,violet,2019-2020,A,2,,
16/3/2020,"Boniface of Ross, Bishop, 8th century [6] White",white,2019-2020,A,2,,
17/3/2020,"Patrick, Bishop, Patron of Ireland, c.461 [4] White",white,2019-2020,A,2,,
18/3/2020,"Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White",white,2019-2020,A,2,,
19/3/2020,Joseph of Nazareth [4] White,white,2019-2020,A,2,,
20/3/2020,"Cuthbert, Bishop, 687 [6] White",white,2019-2020,A,2,,
21/3/2020,"Thomas Cranmer, Bishop, 1556 [6] Red",red,2019-2020,A,2,,
22/3/2020,Fourth Sunday of Lent (Mothering Sunday) [1] Violet or Lenten Array,violet,2019-2020,A,2,,
23/3/2020,"Thomas Ken, Bishop, 1711 [6] White (translated from 22 March)",white,2019-2020,A,2,,
24/3/2020,"Paul Couturier, Priest, 1953 [6] White",white,2019-2020,A,2,,
25/3/2020,The Annunciation of the Lord [2] White,white,2019-2020,A,2,,
26/3/2020,Thursday after Fourth Sunday of Lent,violet,2019-2020,A,2,,
27/3/2020,Friday after Fourth Sunday of Lent,violet,2019-2020,A,2,,
28/3/2020,"Patrick Forbes, Bishop, 1636, and the Aberdeen Doctors, Teachers of the Faith [6] White",white,2019-2020,A,2,,
29/3/2020,Fifth Sunday of Lent (Passion Sunday: The beginning of Passiontide) [1] Violet or Lenten Array,violet,2019-2020,A,2,,
30/3/2020,"John Keble, Priest, 1866 [6] White (translated from 29 March)",white,2019-2020,A,2,,
31/3/2020,Tuesday after Fifth Sunday of Lent,violet,2019-2020,A,2,,
1/4/2020,"Gilbert of Caithness, Bishop, 1245 [6] White",white,2019-2020,A,2,,
2/4/2020,Thursday after Fifth Sunday of Lent,violet,2019-2020,A,2,,
3/4/2020,Friday after Fifth Sunday of Lent,violet,2019-2020,A,2,,
4/4/2020,Saturday after Fifth Sunday of Lent,violet,2019-2020,A,2,,
5/4/2020,The Sunday of the Passion (Palm Sunday: The beginning of Holy Week) [1] Red or Violet,violet,2019-2020,A,2,,
6/4/2020,Monday of Holy Week [1] Red or Violet,violet,2019-2020,A,2,,
7/4/2020,Tuesday of Holy Week [1] Red or Violet,violet,2019-2020,A,2,,
8/4/2020,Wednesday of Holy Week [1] Red or Violet,violet,2019-2020,A,2,,
9/4/2020,Maundy Thursday [1] White at the Eucharist,white,2019-2020,A,2,,
10/4/2020,Good Friday [1] Red for the Liturgy; Hangings removed,red,2019-2020,A,2,,
11/4/2020,Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil,white,2019-2020,A,2,,
12/4/2020,Easter Day [1] White,white,2019-2020,A,2,,
13/4/2020,Monday of Easter week (White),white,2019-2020,A,2,,
14/4/2020,Tuesday of Easter week (White),white,2019-2020,A,2,,
15/4/2020,Wednesday of Easter week (White),white,2019-2020,A,2,,
16/4/2020,Thursday of Easter week (White),white,2019-2020,A,2,,
17/4/2020,Friday of Easter week (White),white,2019-2020,A,2,,
18/4/2020,Saturday of Easter week (White),white,2019-2020,A,2,,
19/4/2020,Second Sunday of Easter [1] White; SPB First Sunday after Easter,white,2019-2020,A,2,,
20/4/2020,"Maelrubha of Applecross, Abbot, 722 [6] White",white,2019-2020,A,2,,
21/4/2020,"Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White",white,2019-2020,A,2,,
22/4/2020,Wednesday after Second Sunday of Easter,white,2019-2020,A,2,,
23/4/2020,"George, Patron of England, Martyr, c.303 [6] Red",red,2019-2020,A,2,,
24/4/2020,Friday after Second Sunday of Easter,white,2019-2020,A,2,,
25/4/2020,"Mark, Evangelist [4] Red",red,2019-2020,A,2,,
26/4/2020,Third Sunday of Easter [1] White; SPB Second Sunday after Easter,white,2019-2020,A,2,,
27/4/2020,"Albert Ernest Laurie, Priest, 1937 [6] White (translated from 26 April)",white,2019-2020,A,2,,
28/4/2020,Tuesday after Third Sunday of Easter,white,2019-2020,A,2,,
29/4/2020,"Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White",white,2019-2020,A,2,,
30/4/2020,Thursday after Third Sunday of Easter,white,2019-2020,A,2,,
1/5/2020,"Philip and James, Apostles [4] Red",red,2019-2020,A,2,,
2/5/2020,"Athanasius, Bishop and Teacher of the Faith, 373 [6] White",white,2019-2020,A,2,,
3/5/2020,Fourth Sunday of Easter [1] White; SPB Third Sunday after Easter (Vocations Sunday),white,2019-2020,A,2,,
4/5/2020,Monday after Fourth Sunday of Easter,white,2019-2020,A,2,,
5/5/2020,Tuesday after Fourth Sunday of Easter,white,2019-2020,A,2,,
6/5/2020,Wednesday after Fourth Sunday of Easter,white,2019-2020,A,2,,
7/5/2020,Thursday after Fourth Sunday of Easter,white,2019-2020,A,2,,
8/5/2020,"Julian of Norwich, c.1413 [6] White",white,2019-2020,A,2,,
9/5/2020,Saturday after Fourth Sunday of Easter,white,2019-2020,A,2,,
10/5/2020,Fifth Sunday of Easter [1] White; SPB Fourth Sunday after Easter,white,2019-2020,A,2,,
11/5/2020,Monday after Fifth Sunday of Easter,white,2019-2020,A,2,,
12/5/2020,"Thomas Rattray, Bishop, 1743 [6] White (Ordination of the Rt Revd Dr John Armes, Bishop of Edinburgh, 2012)",white,2019-2020,A,2,,
13/5/2020,Wednesday after Fifth Sunday of Easter,white,2019-2020,A,2,,
