date,feast,colour,year,rcl,daily,showold,nextyear
1/10/2020,"Gregory the Enlightener, Bishop, c.332 [6] White",white,2019-2020,A,2,,
2/10/2020,Friday after Pentecost 17,green,2019-2020,A,2,,
3/10/2020,Saturday after Pentecost 17,green,2019-2020,A,2,,
4/10/2020,Pentecost 18 [3] Green; SPB Trinity 17,green,2019-2020,A,2,,
5/10/2020,"Francis of Assisi, Deacon and Friar, 1226 [6] White (translated from 4 October)",white,2019-2020,A,2,,
6/10/2020,Tuesday after Pentecost 18,green,2019-2020,A,2,,
7/10/2020,Wednesday after Pentecost 18,green,2019-2020,A,2,,
8/10/2020,"Alexander Penrose Forbes, Bishop, 1875 [6] White",white,2019-2020,A,2,,
9/10/2020,Friday after Pentecost 18,green,2019-2020,A,2,,
10/10/2020,Saturday after Pentecost 18,green,2019-2020,A,2,,
11/10/2020,Pentecost 19 [3] Green; SPB Trinity 18,green,2019-2020,A,2,,
12/10/2020,"Elizabeth Fry, 1845 [6] White",white,2019-2020,A,2,,
13/10/2020,"Kenneth, Abbot, 600 [6] White (translated from 11 October) (Ordination of the Rt Revd Mark Strange, Primus and Bishop of Moray, Ross and Caithness, 2007)",white,2019-2020,A,2,,
14/10/2020,Wednesday after Pentecost 19,green,2019-2020,A,2,,
15/10/2020,"Teresa of Avila, Teacher of the Faith, 1582 [6] White",white,2019-2020,A,2,,
16/10/2020,Friday after Pentecost 19,green,2019-2020,A,2,,
17/10/2020,"Ignatius of Antioch, Bishop and Martyr, c.115 [6] Red",red,2019-2020,A,2,,
18/10/2020,Pentecost 20 [3] Green; SPB Trinity 19,green,2019-2020,A,2,,
19/10/2020,"Luke, Evangelist [4] Red (translated from 18 October)",red,2019-2020,A,2,,
20/10/2020,"Henry Martyn, Priest and Missionary, 1812 [6] White (translated from 19 October) (Ordination of the Rt Revd Ian Paton, Bishop of St Andrews, Dunkeld and Dunblane, 2018)",white,2019-2020,A,2,,
21/10/2020,Wednesday after Pentecost 20,green,2019-2020,A,2,,
22/10/2020,Thursday after Pentecost 20,green,2019-2020,A,2,,
23/10/2020,"James of Jerusalem, Martyr, c.62 [4] Red",red,2019-2020,A,2,,
24/10/2020,Saturday after Pentecost 20,green,2019-2020,A,2,,
25/10/2020,Pentecost 21 [3] Green; SPB Trinity 20,green,2019-2020,A,2,,
26/10/2020,Monday after Pentecost 21,green,2019-2020,A,2,,
27/10/2020,Tuesday after Pentecost 21,green,2019-2020,A,2,,
28/10/2020,"Simon and Jude, Apostles [4] Red",red,2019-2020,A,2,,
29/10/2020,"James Hannington, Bishop and Companions, Martyrs, 1885 [6] Red",red,2019-2020,A,2,,
30/10/2020,Friday after Pentecost 21,green,2019-2020,A,2,,
31/10/2020,Saturday after Pentecost 21,green,2019-2020,A,2,,
1/11/2020,All Saints [2] White,white,2019-2020,A,2,,
2/11/2020,All Souls [5] Violet or White,violet,2019-2020,A,2,,
3/11/2020,"Richard Hooker, Priest and Teacher of the Faith, 1660 [6] White",white,2019-2020,A,2,,
4/11/2020,Wednesday after Pentecost 22,green,2019-2020,A,2,,
5/11/2020,Thursday after Pentecost 22,green,2019-2020,A,2,,
6/11/2020,Friday after Pentecost 22,green,2019-2020,A,2,,
7/11/2020,"Willibrord, Bishop and Missionary, 739 [6] White",white,2019-2020,A,2,,
8/11/2020,Pentecost 23 [3] Green; SPB Trinity 22 (Remembrance Sunday),green,2019-2020,A,2,,
9/11/2020,"George Hay Forbes, Priest, 1875 [6] White",white,2019-2020,A,2,,
10/11/2020,"Leo the Great, Bishop and Teacher of the Faith, 461 [6] White",white,2019-2020,A,2,,
11/11/2020,"Martin of Tours, Bishop, c.397 [6] White",white,2019-2020,A,2,,
12/11/2020,"Machar, Bishop, c.600 [6] White",white,2019-2020,A,2,,
13/11/2020,Friday after Pentecost 23,green,2019-2020,A,2,,
14/11/2020,"Saturday after Pentecost 23 (Ordination of Samuel Seabury, Bishop, 1784)",green,2019-2020,A,2,,
15/11/2020,Pentecost 24 [3] Green; SPB Trinity 23,green,2019-2020,A,2,,
16/11/2020,"Margaret of Scotland, 1093 [4] White",white,2019-2020,A,2,,
17/11/2020,"Hilda of Whitby, 680 and Hugh of Lincoln, Bishop, 1200 [6] White",white,2019-2020,A,2,,
18/11/2020,"Fergus, Bishop, c.750 [6] White",white,2019-2020,A,2,,
19/11/2020,Thursday after Pentecost 24,green,2019-2020,A,2,,
20/11/2020,Friday after Pentecost 24,green,2019-2020,A,2,,
21/11/2020,"Columban, Bishop, 615 [6] White",white,2019-2020,A,2,,
22/11/2020,The Last Sunday after Pentecost (Christ the King) [3] White or Red (The Sunday before Advent),red,2019-2020,A,2,,
23/11/2020,"Clement of Rome, Bishop and Martyr, c.100 [6] Red",red,2019-2020,A,2,,
24/11/2020,"Lucy Menzies, 1954 [6] White",white,2019-2020,A,2,,
25/11/2020,"Cecilia, Martyr, c.230 [6] White (translated from 22 November)",white,2019-2020,A,2,,
26/11/2020,Thursday after the Last Sunday after Pentecost,green,2019-2020,A,2,,
27/11/2020,Friday after the Last Sunday after Pentecost,green,2019-2020,A,2,,
28/11/2020,Saturday after the Last Sunday after Pentecost,green,2019-2020,A,2,,
