date,theme,season,feast,description,class,liturgical-colour,translated,spb,emberogation,bishop,year-from,year-to,rcl,daily
09/07/2022,green,Pentecost,Saturday after Pentecost 4,Feria,,Green,,,,,2021,2022,C,2
10/07/2022,green,Pentecost,Fifth Sunday after Pentecost,Pentecost 5,3,Green,,SPB Trinity 4,,,2021,2022,C,2
11/07/2022,white,Pentecost,St Benedict of Nursia,"Abbot, c.550",6,White,,,,,2021,2022,C,2
12/07/2022,white,Pentecost,St Drostan of Deer,"Abbot, c.600",6,White,,,,,2021,2022,C,2
13/07/2022,green,Pentecost,Wednesday after Pentecost 5,Feria,,Green,,,,,2021,2022,C,2
14/07/2022,green,Pentecost,Thursday after Pentecost 5,Feria,,Green,,,,,2021,2022,C,2
15/07/2022,green,Pentecost,Friday after Pentecost 5,Feria,,Green,,,,,2021,2022,C,2
16/07/2022,green,Pentecost,Saturday after Pentecost 5,Feria,,Green,,,,,2021,2022,C,2
17/07/2022,green,Pentecost,Sixth Sunday after Pentecost,Pentecost 6,3,Green,,SPB Trinity 5,,,2021,2022,C,2
18/07/2022,red,Pentecost,Jane Haining,"Missionary and Martyr, 1944",6,Red,Translated from 17 July,,,,2021,2022,C,2
19/07/2022,green,Pentecost,Tuesday after Pentecost 6,Feria,,Green,,,,,2021,2022,C,2
20/07/2022,green,Pentecost,Wednesday after Pentecost 6,Feria,,Green,,,,,2021,2022,C,2
21/07/2022,white,Pentecost,William Wilberforce,"Politician and Philanthropist, 1833",6,White,,,,,2021,2022,C,2
22/07/2022,white,Pentecost,St Mary Magdalene,Disciple of Jesus and witness of the crucifixion,4,White,,,,,2021,2022,C,2
23/07/2022,green,Pentecost,Saturday after Pentecost 6,Feria,,Green,,,,,2021,2022,C,2
24/07/2022,green,Pentecost,Seventh Sunday after Pentecost,Pentecost 7,3,Green,,SPB Trinity 6,,,2021,2022,C,2
25/07/2022,red,Pentecost,St James,Apostle,4,Red,,,,,2021,2022,C,2
26/07/2022,white,Pentecost,St Anne and St Joachim,"Parents of Mary, Mother of the Lord",6,White,,,,,2021,2022,C,2
27/07/2022,white,Pentecost,John Comper,"Priest, 1903",6,White,,,,,2021,2022,C,2
28/07/2022,green,Pentecost,Thursday after Pentecost 7,Feria,,Green,,,,,2021,2022,C,2
29/07/2022,white,Pentecost,St Martha and St Mary of Bethany,,6,White,,,,,2021,2022,C,2
30/07/2022,white,Pentecost,St Silas,Companion of Saint Paul,6,White,,,,,2021,2022,C,2
31/07/2022,green,Pentecost,Eighth Sunday after Pentecost,Pentecost 8,3,Green,,SPB Trinity 7,,,2021,2022,C,2
01/08/2022,white,Pentecost,St Ignatius Loyola,"Priest and Religious, 1556",6,White,Translated from 31 July,,,,2021,2022,C,2
02/08/2022,green,Pentecost,Tuesday after Pentecost 8,Feria,,Green,,,,,2021,2022,C,2
03/08/2022,green,Pentecost,Wednesday after Pentecost 8,Feria,,Green,,,,,2021,2022,C,2
04/08/2022,green,Pentecost,Thursday after Pentecost 8,Feria,,Green,,,,,2021,2022,C,2
05/08/2022,red,Pentecost,St Oswald of Northumbria,"Martyr, 642",6,Red,,,,,2021,2022,C,2
06/08/2022,white,Pentecost,The Transfiguration of the Lord,,2,White,,,,,2021,2022,C,2
07/08/2022,green,Pentecost,Ninth Sunday after Pentecost,Pentecost 9,3,Green,,SPB Trinity 8,,,2021,2022,C,2
08/08/2022,white,Pentecost,St Dominic,"Priest and Friar, 1221",6,White,,,,,2021,2022,C,2
09/08/2022,white,Pentecost,John Mason Neale,"Priest, 1866",6,White,,,,,2021,2022,C,2
10/08/2022,red,Pentecost,St Lawrence,"Deacon and Martyr, 258",6,Red,,,,,2021,2022,C,2
11/08/2022,white,Pentecost,St Clare of Assisi,"Religious, 1253",6,White,,,,,2021,2022,C,2
12/08/2022,white,Pentecost,St Blane,"Missionary, c.590",6,White,,,,,2021,2022,C,2
13/08/2022,white,Pentecost,Jeremy Taylor,"Bishop, 1667",6,White,,,,,2021,2022,C,2
14/08/2022,green,Pentecost,Tenth Sunday after Pentecost,Pentecost 10,3,Green,,SPB Trinity 9,,,2021,2022,C,2
15/08/2022,white,Pentecost,St Mary the Virgin,Mother of the Lord,4,White,,,,,2021,2022,C,2
16/08/2022,red,Pentecost,Maximilian Kolbe,"Priest and Martyr, 1941",6,Red,Translated from 14 August,,,,2021,2022,C,2
17/08/2022,green,Pentecost,Wednesday after Pentecost 10,Feria,,Green,,,,,2021,2022,C,2
18/08/2022,green,Pentecost,Thursday after Pentecost 10,Feria,,Green,,,,,2021,2022,C,2
19/08/2022,green,Pentecost,Friday after Pentecost 10,Feria,,Green,,,,,2021,2022,C,2
20/08/2022,white,Pentecost,St Bernard of Clairvaux,"Abbot and Teacher of the Faith, 1153",6,White,,,,,2021,2022,C,2
21/08/2022,green,Pentecost,Eleventh Sunday after Pentecost,Pentecost 11,3,Green,,SPB Trinity 10,,,2021,2022,C,2
22/08/2022,green,Pentecost,Monday after Pentecost 11,Feria,,Green,,,,,2021,2022,C,2
23/08/2022,green,Pentecost,Tuesday after Pentecost 11,Feria,,Green,,,,,2021,2022,C,2
24/08/2022,red,Pentecost,St Bartholomew,Apostle,4,Red,,,,,2021,2022,C,2
25/08/2022,white,Pentecost,St Ebba of Coldingham,"Abbess, 683",6,White,,,,"Ordination of the Rt Revd Andrew Swift as Bishop of Brechin, 2018",2021,2022,C,2
26/08/2022,green,Pentecost,Friday after Pentecost 11,Feria,,Green,,,,,2021,2022,C,2
27/08/2022,white,Pentecost,St Monnica,"Mother of Augustine of Hippo, 387",6,White,,,,,2021,2022,C,2
28/08/2022,green,Pentecost,Twelfth Sunday after Pentecost,Pentecost 12,3,Green,,SPB Trinity 11,,,2021,2022,C,2
29/08/2022,red,Pentecost,The Beheading of St John the Baptist,,4,Red,,,,,2021,2022,C,2
30/08/2022,white,Pentecost,St Augustine of Hippo,"Bishop and Teacher of the Faith, 430",6,White,Translated from 28 August,,,,2021,2022,C,2
31/08/2022,white,Pentecost,St Aidan of Lindisfarne,"Bishop, 651",6,White,,,,,2021,2022,C,2
01/09/2022,green,Pentecost,Thursday after Pentecost 12,Feria,,Green,,,,,2021,2022,C,2
02/09/2022,red,Pentecost,The Martyrs of New Guinea,"Martyrs, 1942",6,Red,,,,,2021,2022,C,2
03/09/2022,white,Pentecost,St Gregory the Great,"Bishop and Teacher of the Faith, 604",6,White,,,,,2021,2022,C,2
04/09/2022,green,Creation,Thirteenth Sunday after Pentecost,Pentecost 13,3,Green,,SPB Trinity 12,,,2021,2022,C,2
05/09/2022,green,Creation,Monday after Pentecost 13,Feria,,Green,,,,,2021,2022,C,2
06/09/2022,green,Creation,Tuesday after Pentecost 13,Feria,,Green,,,,,2021,2022,C,2
07/09/2022,green,Creation,Wednesday after Pentecost 13,Feria,,Green,,,,,2021,2022,C,2
08/09/2022,white,Creation,The Birth of St Mary,Mother of the Lord,5,White,,,,,2021,2022,C,2
09/09/2022,green,Creation,Friday after Pentecost 13,Feria,,Green,,,,,2021,2022,C,2
10/09/2022,green,Creation,Saturday after Pentecost 13,Feria,,Green,,,,,2021,2022,C,2
11/09/2022,green,Creation,Fourteenth Sunday after Pentecost,Pentecost 14,3,Green,,SPB Trinity 13,,,2021,2022,C,2
12/09/2022,green,Creation,Monday after Pentecost 14,Feria,,Green,,,,,2021,2022,C,2
13/09/2022,red,Creation,St Cyprian of Carthage,"Bishop and Martyr, 258",6,Red,,,,,2021,2022,C,2
14/09/2022,white,Creation,Holy Cross Day,,5,White or Red,,,,,2021,2022,C,2
15/09/2022,green,Creation,Thursday after Pentecost 14,Feria,,Green,,,,,2021,2022,C,2
16/09/2022,white,Creation,St Ninian of Whithorn,"Bishop, 432",4,White,,,,,2021,2022,C,2
17/09/2022,white,Creation,St Hildegard of Bingen,"Abbess, 1179",6,White,,,,,2021,2022,C,2
18/09/2022,green,Creation,Fifteenth Sunday after Pentecost,Pentecost 15,3,Green,,SPB Trinity 14,,,2021,2022,C,2
19/09/2022,green,Creation,Monday after Pentecost 15,Feria,,Green,,,,,2021,2022,C,2
20/09/2022,red,Creation,John Coleridge Patteson,"Bishop and Martyr, 1871",6,Red,,,,,2021,2022,C,2
21/09/2022,red,Creation,St Matthew,Apostle and Evangelist,4,Red,,,Ember Day,,2021,2022,C,2
22/09/2022,green,Creation,Thursday after Pentecost 15,Feria,,Green,,,,,2021,2022,C,2
23/09/2022,white,Creation,St Adamnan of Iona,"Abbot, 704",6,White,,,Ember Day,,2021,2022,C,2
24/09/2022,green,Creation,Saturday after Pentecost 15,Feria,,Green,,,Ember Day,,2021,2022,C,2
25/09/2022,green,Creation,Sixteenth Sunday after Pentecost,Pentecost 16,3,Green,,SPB Trinity 15,,,2021,2022,C,2
26/09/2022,white,Creation,St Finnbar of Caithness,"Bishop, c.610",6,White,Translated from 25 September,,,,2021,2022,C,2
27/09/2022,white,Creation,Vincent de Paul,"Priest, 1660",6,White,,,,,2021,2022,C,2
28/09/2022,green,Creation,Wednesday after Pentecost 16,Feria,,Green,,,,,2021,2022,C,2
29/09/2022,white,Creation,St Michael and All Angels,,4,White,,,,,2021,2022,C,2
30/09/2022,white,Creation,St Jerome,"Priest and Teacher of the Faith, 420",6,White,,,,,2021,2022,C,2
01/10/2022,white,Creation,St Gregory the Enlightener,"Bishop, 'Apostle of Armenia', c.332",6,White,,,,,2021,2022,C,2
02/10/2022,green,Creation,Seventeenth Sunday after Pentecost,Pentecost 17 (Harvest Thanksgiving),3,Green,,SPB Trinity 16,,,2021,2022,C,2
03/10/2022,green,Pentecost,Monday after Pentecost 17,Feria,,Green,,,,,2021,2022,C,2
04/10/2022,white,Pentecost,St Francis of Assisi,"Deacon and Friar, 1226",6,White,,,,,2021,2022,C,2
05/10/2022,green,Pentecost,Wednesday after Pentecost 17,Feria,,Green,,,,,2021,2022,C,2
06/10/2022,green,Pentecost,Thursday after Pentecost 17,Feria,,Green,,,,,2021,2022,C,2
07/10/2022,green,Pentecost,Friday after Pentecost 17,Feria,,Green,,,,,2021,2022,C,2
08/10/2022,white,Pentecost,Alexander Penrose Forbes,"Bishop, 1875",6,White,,,,,2021,2022,C,2
09/10/2022,green,Pentecost,Eighteenth Sunday after Pentecost,Pentecost 18,3,Green,,SPB Trinity 17,,,2021,2022,C,2
10/10/2022,green,Pentecost,Monday after Pentecost 18,Feria,,Green,,,,,2021,2022,C,2
11/10/2022,white,Pentecost,St Kenneth,"Abbot, 600",6,White,,,,,2021,2022,C,2
12/10/2022,white,Pentecost,Elizabeth Fry,"Social reformer and philanthropist, 1845",6,White,,,,,2021,2022,C,2
13/10/2022,green,Pentecost,Thursday after Pentecost 18,Feria,,Green,,,,"Ordination of the Rt Revd Mark Strange, Primus, as Bishop of Moray, Ross and Caithness, 2007",2021,2022,C,2
14/10/2022,green,Pentecost,Friday after Pentecost 18,Feria,,Green,,,,,2021,2022,C,2
15/10/2022,white,Pentecost,St Teresa of Avila,"Teacher of the Faith, 1582",6,White,,,,,2021,2022,C,2
16/10/2022,green,Pentecost,Nineteenth Sunday after Pentecost,Pentecost 19,3,Green,,SPB Trinity 18,,,2021,2022,C,2
17/10/2022,red,Pentecost,St Ignatius of Antioch,"Bishop and Martyr, c.115",6,Red,,,,,2021,2022,C,2
18/10/2022,red,Pentecost,St Luke,Evangelist,4,Red,,,,,2021,2022,C,2
19/10/2022,white,Pentecost,Henry Martyn,"Priest and Missionary, 1812",6,White,,,,,2021,2022,C,2
20/10/2022,green,Pentecost,Thursday after Pentecost 19,Feria,,Green,,,,"Ordination of the Rt Revd Ian Paton as Bishop of St Andrews, Dunkeld and Dunblane, 2018",2021,2022,C,2
21/10/2022,green,Pentecost,Friday after Pentecost 19,Feria,,Green,,,,,2021,2022,C,2
22/10/2022,green,Pentecost,Saturday after Pentecost 19,Feria,,Green,,,,,2021,2022,C,2
23/10/2022,green,Pentecost,Twentieth Sunday after Pentecost,Pentecost 20,3,Green,,SPB Trinity 19,,,2021,2022,C,2
24/10/2022,red,Pentecost,St James of Jerusalem,"Martyr, c.62",4,Red,Translated from 23 October,,,,2021,2022,C,2
25/10/2022,green,Pentecost,Tuesday after Pentecost 20,Feria,,Green,,,,,2021,2022,C,2
26/10/2022,green,Pentecost,Wednesday after Pentecost 20,Feria,,Green,,,,,2021,2022,C,2
27/10/2022,green,Pentecost,Thursday after Pentecost 20,Feria,,Green,,,,,2021,2022,C,2
28/10/2022,red,Pentecost,St Simon and St Jude,Apostles,4,Red,,,,,2021,2022,C,2
29/10/2022,red,Pentecost,James Hannington,"Bishop, and Companions, Martyrs, 1885",6,Red,,,,,2021,2022,C,2
30/10/2022,green,Pentecost,Twenty-first Sunday after Pentecost,Pentecost 21,3,Green,,SPB Trinity 20,,,2021,2022,C,2
31/10/2022,green,Pentecost,Monday after Pentecost 21,Feria,,Green,,,,,2021,2022,C,2
01/11/2022,white,Pentecost,All Saints,All Hallows' Day,2,White,,,,,2021,2022,C,2
02/11/2022,violet,Pentecost,All Souls,Commemoration of All the Faithful Departed,5,Violet or White,,,,,2021,2022,C,2
03/11/2022,white,Pentecost,Richard Hooker,"Priest and Teacher of the Faith, 1660",6,White,,,,,2021,2022,C,2
04/11/2022,green,Pentecost,Friday after Pentecost 21,Feria,,Green,,,,,2021,2022,C,2
05/11/2022,green,Pentecost,Saturday after Pentecost 21,Feria,,Green,,,,,2021,2022,C,2
06/11/2022,green,Pentecost,Twenty-second Sunday after Pentecost,Pentecost 22,3,Green,,SPB Trinity 21,,,2021,2022,C,2
07/11/2022,white,Pentecost,St Willibrord,"Bishop and Missionary, 739",6,White,,,,,2021,2022,C,2
08/11/2022,green,Pentecost,Tuesday after Pentecost 22,Feria,,Green,,,,,2021,2022,C,2
09/11/2022,white,Pentecost,George Hay Forbes,"Priest, 1875",6,White,,,,,2021,2022,C,2
10/11/2022,white,Pentecost,St Leo the Great,"Bishop and Teacher of the Faith, 461",6,White,,,,,2021,2022,C,2
11/11/2022,white,Pentecost,Martin of Tours,"Bishop, c.397",6,White,,,,,2021,2022,C,2
12/11/2022,white,Pentecost,St Machar,"Bishop, c.600",6,White,,,,,2021,2022,C,2
13/11/2022,green,Pentecost,Twenty-third Sunday after Pentecost,Pentecost 23 (Remembrance Sunday),3,Green,,SPB Trinity 22,,,2021,2022,C,2
14/11/2022,green,Pentecost,Monday after Pentecost 23,Feria,,Green,,,,"Ordination of Samuel Seabury, Bishop, 1784",2021,2022,C,2
15/11/2022,green,Pentecost,Tuesday after Pentecost 23,Feria,,Green,,,,,2021,2022,C,2
16/11/2022,white,Pentecost,St Margaret of Scotland,"Queen of Scots, 1093",4,White,,,,,2021,2022,C,2
17/11/2022,white,Pentecost,St Hugh of Lincoln,"Bishop, 1200",6,White,,,,,2021,2022,C,2
18/11/2022,white,Pentecost,St Fergus,"Bishop, c.750",6,White,,,,,2021,2022,C,2
19/11/2022,white,Pentecost,St Hilda of Whitby,"Abbess, 680",6,White,,,,,2021,2022,C,2
20/11/2022,white,Pentecost,The Last Sunday after Pentecost,Christ the King (The Sunday before Advent),3,White or Red,,,,,2021,2022,C,2
21/11/2022,white,Pentecost,St Columban,"Bishop, 615",6,White,,,,,2021,2022,C,2
22/11/2022,white,Pentecost,St Cecilia,"Martyr, c.230",6,White,,,,,2021,2022,C,2
23/11/2022,red,Pentecost,St Clement of Rome,"Bishop and Martyr, c.100",6,Red,,,,,2021,2022,C,2
24/11/2022,white,Pentecost,Lucy Menzies,"Scholar and Mystic, 1954",6,White,,,,,2021,2022,C,2
25/11/2022,green,Pentecost,Friday after the Last Sunday after Pentecost,Feria,,Green,,,,,2021,2022,C,2
26/11/2022,green,Pentecost,Saturday after the Last Sunday after Pentecost,Feria,,Green,,,,,2021,2022,C,2
