date,theme,season,feast,description,class,liturgical-colour,translated,spb,emberogation,bishop,year-from,year-to,rcl,daily
22/01/2021,green,Epiphany,Friday after Second Sunday after Epiphany,Feria,,Green,,,,,2020,2021,B,1
23/01/2021,green,Epiphany,Saturday after Second Sunday after Epiphany,Feria,,Green,,,,,2020,2021,B,1
24/01/2021,green,Epiphany,Third Sunday after Epiphany,Epiphany 3,3,Green,,,,,2020,2021,B,1
25/01/2021,white,Epiphany,The Conversion of St Paul,Apostle,4,White,,,,,2020,2021,B,1
26/01/2021,white,Epiphany,St Timothy and St Titus,Bishops,6,White,,,,,2020,2021,B,1
27/01/2021,white,Epiphany,St John Chrysostom,"Bishop and Teacher of the Faith, 407",6,White,,,,,2020,2021,B,1
28/01/2021,white,Epiphany,St Thomas Aquinas,"Teacher of the Faith, 1274",6,White,,,,,2020,2021,B,1
29/01/2021,white,Epiphany,Francis de Sales,"Bishop, 1622",6,White,Translated from 24 January,,,,2020,2021,B,1
30/01/2021,red,Epiphany,King Charles I,"King, 1649",6,Red,,,,,2020,2021,B,1
31/01/2021,green,Epiphany,Fourth Sunday after Epiphany,Epiphany 4,3,Green,,SPB Septuagesima - Violet,,,2020,2021,B,1
01/02/2021,white,Epiphany,St Bride of Kildare,"Abbess, c.525",6,White,,,,,2020,2021,B,1
02/02/2021,white,Epiphany,The Presentation of the Lord,,2,White,,,,,2020,2021,B,1
03/02/2021,green,Epiphany,Wednesday after Fourth Sunday after Epiphany,Feria,,Green,,,,,2020,2021,B,1
04/02/2021,red,Epiphany,Charles Mackenzie of Central Africa,"Bishop, Missionary, Martyr, 1862",6,Red,Translated from 31 January,,,"Ordination of the Rt Revd Kevin Pearson, Bishop of Glasgow and Galloway, 2011 (translated from Argyll and The Isles - 1 July 2020)",2020,2021,B,1
05/02/2021,green,Epiphany,Friday after Fourth Sunday after Epiphany,Feria,,Green,,,,,2020,2021,B,1
06/02/2021,red,Epiphany,Paul Miki and the Martyrs of Japan,"Priest, 1597",6,Red,,,,,2020,2021,B,1
07/02/2021,green,Epiphany,Fifth Sunday after Epiphany,Epiphany 5,3,Green,,SPB Sexagesima - Violet,,,2020,2021,B,1
08/02/2021,green,Epiphany,Monday after Fifth Sunday after Epiphany,Feria,,Green,,,,,2020,2021,B,1
09/02/2021,green,Epiphany,Tuesday after Fifth Sunday after Epiphany,Feria,,Green,,,,,2020,2021,B,1
