Import file template field,Start date,,SUBJECT,SUBJECT,SUBJECT,DESCRIPTION,DESCRIPTION,DESCRIPTION,,DESCRIPTION,DESCRIPTION,
Saturday,2023-03-04,,"Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red",,,,"Saturday 4 March 2023

Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red
Saturday after First Sunday of Lent
Week of Lent 1
Year A/1

DAILY EUCHARIST (Violet or Lenten Array)
Deuteronomy 26:16-19
Psalm 119:1-8
Matthew 5:43-48

DAILY PRAYER: Returning to God 
Deuteronomy 11:18-28
Hebrews 5:1-10
John 4:1-26

EMBER DAY READINGS
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27",,,,,
Sunday,2023-03-05,,Second Sunday of Lent [1] Violet or Lenten Array,,,,"Sunday 5 March 2023        

Second Sunday of Lent [1] Violet or Lenten Array
Week of Lent 2
Year A/1

EUCHARIST
Genesis 12:1-4a
Psalm 121
Romans 4:1-5, 13-17
John 3:1-17 or Matthew 17:1-9

DAILY PRAYER: Returning to God 
Numbers 21:4-9
Galatians 3:1-9, 23-29
Luke 14:27-33

ALTERNATIVE PSALMS
Morning: Psalm 135:1-14
Evening: Psalm 74

COLLECT
O God, 
you see that we lack the strength to help ourselves: 
protect us both inwardly and outwardly; 
that our bodies may be guarded from adversity, 
and our minds may be defended 
from such thoughts as assault and harm the soul; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-03-06,,"Baldred, Bishop, 608 [6] White",,,,"Monday 6 March 2023

Baldred, Bishop, 608 [6] White
Monday after Second Sunday of Lent
Week of Lent 2
Year A/1

DAILY EUCHARIST
Daniel 9:3-10
Psalm 79
Luke 6:36-38

DAILY PRAYER: Returning to God 
Jeremiah 1:(1-10), 11-19
Romans 1:1-15
John 4:27-42

COLLECT
O God,
you see that we lack the strength to help ourselves:
protect us both inwardly and outwardly;
that our bodies may be guarded from adversity,
and our minds may be defended from such thoughts
as assault and harm the soul;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Tuesday,2023-03-07,,"Perpetua and her Companions, Martyrs, 203 [6] Red",,,,"Tuesday 7 March 2023

Perpetua and her Companions, Martyrs, 203 [6] Red
Tuesday after Second Sunday of Lent
Week of Lent 2
Year A/1

DAILY EUCHARIST
Isaiah 1:10-20
Psalm 50:7-15
Matthew 23:1-12

DAILY PRAYER: Returning to God 
Jeremiah 2:1-13
Romans 1:16-25, (26-27)
John 4:43-54

COLLECT
O God,
you see that we lack the strength to help ourselves:
protect us both inwardly and outwardly;
that our bodies may be guarded from adversity,
and our minds may be defended from such thoughts
as assault and harm the soul;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Wednesday,2023-03-08,,"Duthac, Bishop, 1068 [6] White",,,,"Wednesday 8 March 2023

Duthac, Bishop, 1068 [6] White
Wednesday after Second Sunday of Lent
Week of Lent 2
Year A/1

DAILY EUCHARIST
Jeremiah 18:18-20
Psalm 31:1-5, 13-16
Matthew 20:17-28

DAILY PRAYER: Returning to God 
Jeremiah 3:6-18
Romans 1:28 - 2:11
John 5:1-18

COLLECT
O God,
you see that we lack the strength to help ourselves:
protect us both inwardly and outwardly;
that our bodies may be guarded from adversity,
and our minds may be defended from such thoughts
as assault and harm the soul;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Thursday,2023-03-09,,Thursday after Second Sunday of Lent,,,,"Thursday 9 March 2023

Thursday after Second Sunday of Lent
Week of Lent 2
Year A/1

DAILY EUCHARIST
Jeremiah 17:5-10
Psalm 1
Luke 16:19-31

DAILY PRAYER: Returning to God 
Jeremiah 4:9-10, 19-28
Romans 2:12-24
John 5:19-29

COLLECT
O God,
you see that we lack the strength to help ourselves:
protect us both inwardly and outwardly;
that our bodies may be guarded from adversity,
and our minds may be defended from such thoughts
as assault and harm the soul;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Friday,2023-03-10,,"Kessog, Bishop, c.700 [6] Red",,,,"Friday 10 March 2023

Kessog, Bishop, c.700 [6] Red
Friday after Second Sunday of Lent
Week of Lent 2
Year A/1

DAILY EUCHARIST
Genesis 37:3-4, 12-28
Psalm 17:1-8
Matthew 21:33-46

DAILY PRAYER: Returning to God 
Jeremiah 5:1-9, 20-31
Romans 2:25 - 3:18
John 5:30-47

COLLECT
O God,
you see that we lack the strength to help ourselves:
protect us both inwardly and outwardly;
that our bodies may be guarded from adversity,
and our minds may be defended from such thoughts
as assault and harm the soul;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Saturday,2023-03-11,,Saturday after Second Sunday of Lent,,,,"Saturday 11 March 2023

Saturday after Second Sunday of Lent
Week of Lent 2
Year A/1

DAILY EUCHARIST
Micah 7:14-20
Psalm 103:1-12
Luke 15:1-3, 11-32

DAILY PRAYER: Returning to God 
Jeremiah 6:9-15
Romans 3:19-31
John 7:1-13

COLLECT
O God,
you see that we lack the strength to help ourselves:
protect us both inwardly and outwardly;
that our bodies may be guarded from adversity,
and our minds may be defended from such thoughts
as assault and harm the soul;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Sunday,2023-03-12,,Third Sunday of Lent [1] Violet or Lenten Array,,,,"Sunday 12 March 2023

Third Sunday of Lent [1] Violet or Lenten Array
Week of Lent 3
Year A/1

EUCHARIST
Exodus 17:1-7
Psalm 95
Romans 5:1-11
John 4:5-42

DAILY PRAYER: Returning to God 
Joshua 1:1-9
Ephesians 6:10-20
John 2:13-22

ALTERNATIVE PSALMS
Morning: Psalm 40
Evening: Psalms 11 and 12

COLLECT
Merciful Father, 
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-03-13,,Monday after Third Sunday of Lent,,,,"Monday 13 March 2023

Monday after Third Sunday of Lent
Week of Lent 3
Year A/1

DAILY EUCHARIST
2 Kings 5:1-15a
Psalm 42:1-2, 11-15
Luke 4:24-30

DAILY PRAYER: Returning to God 
Jeremiah 7:1-15
Romans 4:1-12
John 7:14-36

COLLECT
Merciful Father, 
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-03-14,,Tuesday after Third Sunday of Lent,,,,"Tuesday 14 March 2023

Tuesday after Third Sunday of Lent
Week of Lent 3
Year A/1

DAILY EUCHARIST
Song of the Three 1, 2, 11-20
Psalm 25:3-8
Matthew 18:21-35

DAILY PRAYER: Returning to God 
Jeremiah 7:21-34
Romans 4:13-25
John 7:37-52

COLLECT
Merciful Father, 
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-03-15,,Wednesday after Third Sunday of Lent,,,,"Wednesday 15 March 2023

Wednesday after Third Sunday of Lent
Week of Lent 3
Year A/1

DAILY EUCHARIST
Deuteronomy 4:1, 5-10
Psalm 147:13-21
Matthew 5:17-20

DAILY PRAYER: Returning to God 
Jeremiah 8:18 - 9:6
Romans 5:1-11
John 8:12-20

COLLECT
Merciful Father, 
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-03-16,,"Boniface of Ross, Bishop, 8th century [6] White",,,,"Thursday 16 March 2023

Boniface of Ross, Bishop, 8th century [6] White
Thursday after Third Sunday of Lent
Week of Lent 3
Year A/1

DAILY EUCHARIST
Jeremiah 7:21-28
Psalm 95:1-9
Luke 11:14-23

DAILY PRAYER: Returning to God 
Jeremiah 10:11-24
Romans 5:12-21
John 8:21-32

COLLECT
Merciful Father, 
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-03-17,,"Patrick, Bishop, Patron of Ireland, c.461 [4] White",,,,"Friday 17 March 2023

Patrick, Bishop, Patron of Ireland, c.461 [4] White
Friday after Third Sunday of Lent
Week of Lent 3
Year A/1

DAILY EUCHARIST
Hosea 14:1-9
Psalm 81
Mark 12:28-34

DAILY PRAYER: Returning to God 
Jeremiah 11:1-8, 14-20
Romans 6:1-11
John 8:33-47""

COLLECT
Almighty and everlasting God, 
who chose your servant Patrick to be the apostle of Ireland:
grant that we, like him, may walk in the light of your gospel, 
as heralds and evangelists of your kingdom;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Saturday,2023-03-18,,"Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White",,,,"Saturday 18 March 2023

Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White
Saturday after Third Sunday of Lent
Week of Lent 3
Year A/1

DAILY EUCHARIST
Hosea 5:13 - 6:6
Psalm 51:1-2, 17-20
Luke 18:9-14

DAILY PRAYER: Returning to God 
Jeremiah 13:1-11
Romans 6:12-23
John 8:47-59

COLLECT
Merciful Father, 
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-03-19,,Fourth Sunday of Lent [1] Violet or Lenten Array,,,,"Sunday 19 March 2023

Fourth Sunday of Lent [1] Violet or Lenten Array
Mothering Sunday
Week of Lent 4
Year A/1

DAILY EUCHARIST
1 Samuel 16:1-13
Psalm 23
Ephesians 5:8-14
John 9:1-41

DAILY PRAYER: Returning to God 
Micah 7:1-7, (8-20)
James 5:1-12, (13-20)
John 3:14-21

MOTHERING SUNDAY READINGS
Exodus 2:1-10 or 1 Samuel 1:20-28
Psalm 34 or Psalm 127:1-4
2 Corinthians 1:3-7 or Colossians 3:12-17
Luke 2:33-35 or John 19:25-27

ALTERNATIVE PSALMS
Morning: Psalm 31:1-8, (9-16)
Evening: Psalms 13 and 14""        Week of 4 Lent (DP Returning to God)

COLLECT
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-03-20,,Joseph of Nazareth [4] White (translated from 19 March),,,,"Monday 20 March 2023

Joseph of Nazareth [4] White (translated from 19 March)
Monday after Fourth Sunday of Lent
Week of Lent 4
Year A/1

EUCHARIST
2 Samuel 7:4-16
Psalm 89:1-4, 26-29
Romans 4:13-18
Luke 2.41-52 (30-36) or Matthew 1:18-25

MORNING PRAYER: Festivals
Isaiah 63:7-16 
Matthew 1:18-25

EVENING PRAYER: Festivals
2 Chronicles 6:12-17
Ephesians 3:14-21

COLLECT
O God our Father, 
who, from the family of your servant David, 
raised up Joseph the carpenter 
to be the guardian of your incarnate Son: 
give us grace to follow his example 
of faithful obedience to your will;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Tuesday,2023-03-21,,"Thomas Cranmer, Bishop, 1556 [6] Red",,,,"Tuesday 21 March 2023

Thomas Cranmer, Bishop, 1556 [6] Red
Tuesday after Fourth Sunday of Lent
Week of Lent 4
Year A/1

DAILY EUCHARIST
Ezekiel 47:1-9, 12
Psalm 46
John 5:1-18

DAILY PRAYER: Returning to God 
Jeremiah 16:10-21
Romans 7:13-25
John 6:16-27

COLLECT
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-03-22,,"Thomas Ken, Bishop, 1711 [6] White",,,,"Wednesday 22 March 2023

Thomas Ken, Bishop, 1711 [6] White
Wednesday after Fourth Sunday of Lent
Week of Lent 4
Year A/1

DAILY EUCHARIST
Isaiah 49:8-15
Psalm 145:8-15
John 5:19-30

DAILY PRAYER: Returning to God 
Jeremiah 17:19 - 18:12
Romans 8:1-11
John 6:27-40

COLLECT
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-03-23,,"Cuthbert, Bishop, 687 [6] White (translated from 20 March)",,,,"Thursday 23 March 2023

Cuthbert, Bishop, 687 [6] White (translated from 20 March)
Thursday after Fourth Sunday of Lent
Week of Lent 4
Year A/1

DAILY EUCHARIST
Exodus 32:7-14
Psalm 103:1-12
John 5:31-47

DAILY PRAYER: Returning to God 
Jeremiah 22:13-23
Romans 8:12-27
John 6:41-51

COLLECT
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2023-03-24,,Friday after Fourth Sunday of Lent,,,,"Friday 24 March 2023

Paul Couturier, Priest, 1953 [6] White
Friday after Fourth Sunday of Lent
Week of Lent 4
Year A/1

DAILY EUCHARIST
Wisdom of Solomon 2:1a, 12-22
Psalm 34:15-22
John 7:1-2, 10, 25-30

MORNING PRAYER: Returning to God 
Jeremiah 23:1-8
Romans 8:28-39
John 6:52-59

Evening before the Annunciation of the Lord

EVENING PRAYER: Festivals
Genesis 3:1-15
Romans 5:12-21 or Galatians 4:1-7

COLLECT
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-03-25,,THE ANNUNCIATION OF THE LORD [2] White,,,,"Saturday 25 March 2023

THE ANNUNCIATION OF THE LORD [2] White
Week of Lent 4
Year A/1

EUCHARIST
Isaiah 7:10-14
Psalm 40:5-10 or Psalm 45
Hebrews 10:4-10
Luke 1:26-38

MORNING PRAYER: Festivals
Isaiah 52:7-12
Hebrews 2:5-10

EVENING PRAYER: Festivals
Wisdom of Solomon 9:1-12
John 1:9-14

COLLECT
Pour your grace into our hearts, O Lord:
that, as we have known the incarnation of your Son Jesus Christ
by the message of an angel to the Blessed Virgin Mary;
so by his cross and passion
we may be brought to the glory of his resurrection;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

--

Saturday after Fourth Sunday of Lent
Week of Lent 4
Year A/1

DAILY EUCHARIST
Jeremiah 11:18-20
Psalm 7:1-2, 9-12
John 7:40-53

DAILY PRAYER: Returning to God 
Jeremiah 23:9-32
Romans 9:1-18
John 6:60-71

COLLECT
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-03-26,,Fifth Sunday of Lent (Passion Sunday: The beginning of Passiontide) [1] Violet or Lenten Array,,,,"Sunday 26 March 2023

Fifth Sunday of Lent (Passion Sunday: The beginning of Passiontide) [1] Violet or Lenten Array
Week of Lent 5
Year A/1

EUCHARIST
Ezekiel 37:1-14
Psalm 130
Romans 8:6-11
John 11:1-45

DAILY PRAYER: The Suffering Christ 
Lamentations 3:19-33
Hebrews 12:18-29
Matthew 20:17-34

ALTERNATIVE PSALMS
Morning: Psalm 30
Evening: Psalm 34

COLLECT
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Monday,2023-03-27,,Monday after Fifth Sunday of Lent,,,,"Monday 27 March 2023

Monday after Fifth Sunday of Lent
Week of Lent 5
Year A/1

DAILY EUCHARIST
Susanna 1:1-9, 15-17, 19-30, 33-62 or Susanna 1:41c-62
Psalm 23
John 8:1-11

DAILY PRAYER: The Suffering Christ 
Jeremiah 24:1-10
Romans 9:19-33
John 9:1-17""

COLLECT
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Tuesday,2023-03-28,,"Patrick Forbes, Bishop, 1635, and the Aberdeen Doctors, Teachers of the Faith [6] White",,,,"Tuesday 28 March 2023

Patrick Forbes, Bishop, 1635, and the Aberdeen Doctors, Teachers of the Faith [6] White
Tuesday after Fifth Sunday of Lent
Week of Lent 5
Year A/1

DAILY EUCHARIST
Numbers 21:4-9
Psalm 102:1-2, 15-22
John 8:21-30

DAILY PRAYER: The Suffering Christ 
Jeremiah 25:8-17
Romans 10:1-13
John 9:18-41

COLLECT
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Wednesday,2023-03-29,,"John Keble, Priest, 1866 [6] White",,,,"Wednesday 29 March 2023

John Keble, Priest, 1866 [6] White
Wednesday after Fifth Sunday of Lent
Week of Lent 5
Year A/1

DAILY EUCHARIST
Daniel 3:13-28
Psalm 24:1-6
John 8:31-47

DAILY PRAYER: The Suffering Christ 
Jeremiah 25:30-38
Romans 10:14-21
John 10:1-18

COLLECT
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Thursday,2023-03-30,,Thursday after Fifth Sunday of Lent,,,,"Thursday 30 March 2023

Thursday after Fifth Sunday of Lent
Week of Lent 5
Year A/1

DAILY EUCHARIST
Genesis 17:3-9
Psalm 105:1-9
John 8:51-59

DAILY PRAYER: The Suffering Christ 
Jeremiah 26:1-16
Romans 11:1-12
John 10:19-42

COLLECT
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Friday,2023-03-31,,Friday after Fifth Sunday of Lent,,,,"Friday 31 March 2023

Friday after Fifth Sunday of Lent
Week of Lent 5
Year A/1

DAILY EUCHARIST
Jeremiah 20:7-13
Psalm 18:1-7
John 10:31-42

DAILY PRAYER: The Suffering Christ 
Jeremiah 29:1, 4-13
Romans 11:13-24
John 11:1-27 or John 12:1-10

COLLECT
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Saturday,2023-04-01,,"Gilbert of Caithness, Bishop, 1245 [6] White",,,,"Saturday 1 April 2023

Gilbert of Caithness, Bishop, 1245 [6] White
Saturday after Fifth Sunday of Lent
Week of Lent 5
Year A/1

DAILY EUCHARIST
Ezekiel 37:21b-28
Psalm 121
John 11:45-57

DAILY PRAYER: The Suffering Christ 
Jeremiah 31:27-34
Romans 11:25-36
John 11:28-44 or John 12:37-50

COLLECT
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Sunday - PALM SUNDAY,2023-04-02,,Sixth Sunday of Lent: Palm Sunday [1] Red or Violet,,,,"Sunday 2 April 2023

Sixth Sunday of Lent: Palm Sunday [1] Red or Violet
Holy Week (Week of Lent 6)
Year A/1

EUCHARIST
Liturgy of the Palms
Matthew 21:1-11
Psalm 118:1-2, 19-29

Liturgy of the Passion
Isaiah 50:4-9a
Psalm 31:9-16
Philippians 2:5-11
Matthew 26:14 - 27:66 or Matthew 27:11-54

MORNING PRAYER: The Suffering Christ 
Zechariah 9:9-12
1 Timothy 6:12-16

EVENING PRAYER: The Suffering Christ 
Zechariah 12:9-11; 13:1, 7-9
Matthew 21:12-17

COLLECT
At the Liturgy of the Palms

Assist us mercifully with your help,
Lord God of our salvation:
that we may enter with joy
into the celebration of those mighty acts
whereby you give us life and immortality;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

At the Liturgy of the Passion

Almighty God, 
who, in your tender love for the human race,
sent your Son, our Saviour Jesus Christ,
to take our nature upon him,
and to suffer death upon the cross, 
giving us the example of his great humility:
mercifully grant,
that we may both follow the example of his passion,
and also, be made partakers of his resurrection;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-04-03,,Monday of Holy Week [1] Red or Violet,,,,"Monday 3 April 2023

Monday of Holy Week [1] Red or Violet
Holy Week (Week of Lent 6)
Year A/1

DAILY EUCHARIST
Isaiah 42:1-9
Psalm 36:5-11
Hebrews 9:11-15
John 12:1-11

DAILY PRAYER: The Suffering Christ 
Jeremiah 12:1-16
Philippians 3:1-14
John 12:9-19

COLLECT
Almighty God,
whose most dear Son went not up to joy,
but first he suffered pain,
and entered not into glory before he was crucified:
mercifully grant,
that we, walking in the way of his cross,
may find it none other than the way of life and peace;
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2023-04-04,,Tuesday of Holy Week [1] Red or Violet,,,,"Tuesday 4 April 2023

Tuesday of Holy Week [1] Red or Violet
Holy Week (Week of Lent 6)
Year A/1

DAILY EUCHARIST
Isaiah 49:1-7
Psalm 71:1-14
1 Corinthians 1:18-31
John 12:20-36

DAILY PRAYER: The Suffering Christ 
Jeremiah 15:10-21
Philippians 3:15-21
John 12:20-26

O God,
who, by the passion of your blessed Son,
made an instrument of shameful death to be for us the means of life:
grant us so to glory in the cross of Christ,
that we may gladly suffer pain and loss;
for the sake of your Son, 
our Saviour Jesus Christ,
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2023-04-05,,Wednesday of Holy Week [1] Red or Violet,,,,"Wednesday 5 April 2023

Wednesday of Holy Week [1] Red or Violet
Holy Week (Week of Lent 6)
Year A/1

DAILY EUCHARIST
Isaiah 50:4-9a
Psalm 70
Hebrews 12:1-3
John 13:21-32

DAILY PRAYER: The Suffering Christ 
Jeremiah 17:5-10, 14-17
Philippians 4:1-13
John 12:27-36

COLLECT
O Lord God,
whose blessed Son, our Saviour,
gave his back to the smiters,
and did not hide his face from shame:
give us grace to endure the sufferings of this present time,
and confidence in the glory that shall be revealed;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2023-04-06,,Maundy Thursday [1] White at the Eucharist,,,,"Thursday 6 April 2023

Maundy Thursday [1] White at the Eucharist
Holy Week (Week of Lent 6)
Year A/1

EUCHARIST
Exodus 12:1-4, (5-10), 11-14
Psalm 116:1-2, 12-19
1 Corinthians 11:23-26
John 13:1-17, 31b-35

DAILY PRAYER: The Suffering Christ 
Jeremiah 20:7-11
1 Corinthians 10:14-17; 11:27-32
John 17:1-11, (12-26)

COLLECT
At Daily Prayer the Collect for Palm Sunday (The Liturgy of the Passion) is used. 

Almighty God, 
who, in your tender love for the human race,
sent your Son, our Saviour Jesus Christ,
to take our nature upon him,
and to suffer death upon the cross, 
giving us the example of his great humility:
mercifully grant,
that we may both follow the example of his passion,
and also, be made partakers of his resurrection;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

The following Collect is used at the Eucharist in the Evening.

O God our Father,
as you invite us to share in the supper 
that your Son gave to his Church 
to proclaim his death until he comes:
inspire us by his service,
and unite us in his love;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.
",,,,,
Friday,2023-04-07,,Good Friday [1] Red for the Liturgy; Hangings removed,,,,"Friday 7 April 2023

Good Friday [1] Red for the Liturgy; Hangings removed
Holy Week (Week of Lent 6)
Year A/1

HOLY COMMUNION
Isaiah 52:13 - 53:12
Psalm 22
Hebrews 10:16-25 or Hebrews 4:14-16; 5:7-9
John 18:1 - 19:42

MORNING PRAYER: The Suffering Christ 
Wisdom of Solomon 1:16 - 2:1, 12-22 or Genesis 22:1-14
1 Peter 1:10-20
John 13:36-38

EVENING PRAYER: The Suffering Christ 
Wisdom of Solomon 1:16 - 2:1, 12-22 or Genesis 22:1-14
1 Peter 1:10-20
John 19:38-42

COLLECT
Almighty Father,
look with mercy on this your family:
for which our Lord Jesus Christ was willing to be betrayed,
given up into the hands of sinners,
and to suffer death upon the cross;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2023-04-08,,Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil,,,,"Saturday 8 April 2023

Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil
Holy Week (Week of Lent 6)
Year A/1

AT SERVICES OTHER THAN THE EASTER VIGIL
Job 14:1-14 or Lamentations 3:1-9, 19-24
Psalm 31:1-4, 15-16
1 Peter 4:1-8
Matthew 27:57-66 or John 19:38-42

MORNING PRAYER: The Suffering Christ 
Job 19:21-27a
Hebrews 4:1-16

EVENING PRAYER: The Suffering Christ 
Job 19:21-27a
Romans 8:1-11

COLLECT
The following Collect is used during the day.

O God,
creator of heaven and earth:
as the crucified body of your dear Son was laid in the tomb,
and rested on this holy Sabbath;
so may we await with him 
the coming of the third day,
and rise with him to newness of life;
through Jesus Christ, our Lord, 
who now lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

---

EASTER VIGIL

A minimum of three Old Testament readings (with their psalm or canticle) should be chosen. The reading from Exodus 14 should always be used.
Genesis 1:1-2:4a / Psalm 136:1-9, 23-26
Genesis 7:1-5,11-18; 8:6-18; 9:8-13 / Psalm 46
Genesis 22:1-18 / Psalm 16
Exodus 14:10-31; 15:20-21 / Canticle: Exodus 15:1b-13, 17-18
Isaiah 55:1-11 / Canticle: Isaiah 12:2-6
Baruch 3:9-15, 32 - 4:4 or Proverbs 8:1-8, 19-21; 9:4b-6 / Psalm 19
Ezekiel 36:24-28 / Psalms 42 and 43
Ezekiel 37:1-14 / Psalm 143
Zephaniah 3:14-20 / Psalm 98

New Testament reading
Romans 6:3-11
Gradual Psalm: Psalm 114
Gospel (Year A): Matthew 28:1-10

COLLECT

O God,
who made this most holy night
to shine with the glory of the Lord’s resurrection:
stir up in your Church 
that Spirit of adoption given to us in baptism;
that, being renewed both in body and mind,
we may worship you in sincerity and truth;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
