Subject,Start Date,Start Time,End Date,End Time,All Day Event,Reminder on/off,Description,Priority,Sensitivity,Show time as
Third Sunday of Advent [1] Violet,16/12/2018,,,,TRUE,FALSE,"Third Sunday of Advent [1] Violet
Week of Advent 3

EUCHARIST
Zephaniah 3:14-20
Canticle: Isaiah 12:2-6
Philippians 4:4-7
Luke 3:7-18

DAILY PRAYER: Anticipation 
Malachi 3:1-4; 4
Philippians 4:4-7
Luke 1:57-66

ALTERNATIVE PSALMS
Morning: Psalm 12
Evening: Psalm 68:1-8, (9-20)",Normal,Normal,3
Monday after Third Sunday of Advent,17/12/2018,,,,TRUE,FALSE,"Monday after Third Sunday of Advent
17 December
Week of Advent 3

DAILY EUCHARIST (Violet)
Genesis 49:2, 8-10
Psalm 72:1-8
Matthew 1:1-7, 17

DAILY PRAYER: Anticipation 
Isaiah 8:16 - 9:1
2 Peter 1:1-11
Luke 22:39-53",Normal,Normal,3
Tuesday after Third Sunday of Advent,18/12/2018,,,,TRUE,FALSE,"Tuesday after Third Sunday of Advent
18 December
Week of Advent 3

DAILY EUCHARIST (Violet)
Jeremiah 23:5-8
Psalm 72:11-19
Matthew 1:18-25

DAILY PRAYER: Anticipation 
Isaiah 42:1-12
Ephesians 6:10-20
John 3:16-21",Normal,Normal,3
Wednesday after Third Sunday of Advent,19/12/2018,,,,TRUE,FALSE,"Wednesday after Third Sunday of Advent
19 December
Week of Advent 3

DAILY EUCHARIST (Violet)
Judges 13:2-7, 24-25
Psalm 71:1-8
Luke 1:5-25

DAILY PRAYER: Anticipation 
Isaiah 11:1-9
Revelation 20:1-10
John 5:30-47

---

EMBER DAY READINGS
Wednesday after 13 December

Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19",Normal,Normal,3
Thursday after Third Sunday of Advent,20/12/2018,,,,TRUE,FALSE,"Thursday after Third Sunday of Advent
20 December
Week of Advent 3

DAILY EUCHARIST (Violet)
Isaiah 7:10-14
Psalm 24
Luke 1:26-38

DAILY PRAYER: Anticipation 
Isaiah 11:10-16
Revelation 20:11 - 21:8
Luke 1:5-25",Normal,Normal,3
"Thomas, Apostle [4] Red (if not kept on 3 July)",21/12/2018,,,,TRUE,FALSE,"Thomas, Apostle [4] Red (if not kept on 3 July)

EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7

---

Friday after Third Sunday of Advent
21 December
Week of Advent 3

DAILY EUCHARIST (Violet)
Song of Solomon 2:8-14 or Zephaniah 3:14-18a
Psalm 33:1-5, 20-22
Luke 1:39-45

DAILY PRAYER: Anticipation 
Isaiah 28:9-22
Revelation 21:9-21
Luke 1:26-38

---

EMBER DAY READINGS
Friday after 13 December

Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21",Normal,Normal,3
Saturday after Third Sunday of Advent,22/12/2018,,,,TRUE,FALSE,"Saturday after Third Sunday of Advent
22 December
Week of Advent 3

DAILY EUCHARIST (Violet)
1 Samuel 1:19-28
Psalm 113 or Psalm 122
Luke 1:46-56

DAILY PRAYER: Anticipation 
Isaiah 29:13-24
Revelation 21:22 - 22:5
Luke 1:39-48a, (48b-56)

---

EMBER DAY READINGS
Saturday after 13 December

1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27",Normal,Normal,3
Fourth Sunday of Advent [1] Violet,23/12/2018,,,,TRUE,FALSE,"Fourth Sunday of Advent [1] Violet
23 December
Week of Advent 4

EUCHARIST
Micah 5:2-5a
Canticle: Luke 1:47-55 or Psalm 80:1-7
Hebrews 10:5-10
Luke 1:39-45, (46-55)

DAILY PRAYER: Anticipation 
Isaiah 33:17-22
Revelation 22:6-11, 18-20
Luke 1:57-66",Normal,Normal,3
Christmas Eve [2] Violet,24/12/2018,,,,TRUE,FALSE,"Christmas Eve [2] Violet
24 December

DAILY EUCHARIST (Violet)
2 Samuel 7:1-16
Psalm 89:1-4, 19-29
Luke 1:67-79

MORNING PRAYER: Anticipation 
Morning:
Isaiah 35:1-10
Revelation 22:12-17, 21
Luke 1:67-80

EVENING PRAYER: Anticipation
Isaiah 59:15b-21
Philippians 2:5-11",Normal,Normal,3
Christmas Day [1] White,25/12/2018,,,,TRUE,FALSE,"Christmas Day [1] White
25 December

EUCHARIST
Any of these propers may be used at midnight or during the day:  Those listed under C should be used at least once during the Christmas season:

A
Isaiah 9:2-7
Psalm 96
Titus 2:11-14
Luke 2:1-14 (15-20) 

B
Isaiah 62:6-12
Psalm 97
Titus 3:4-7
Luke 2: (1-7) 8-20

C
Isaiah 52:7-10
Psalm 98
Hebrews 1:1-4 (5-12) 
John 1:1-14

DAILY PRAYER: Incarnation 
Zechariah 2:10-13
1 John 4:7-16
John 3:31-36",Normal,Normal,3
